Month,State,City,Sessions,New users,Users,Transactions,Transaction revenue
2019|03,New South Wales,Grafton,285,33,66,5,$410.60
2019|03,New South Wales,Griffith,777,93,252,16,"$3,314.89"
2019|03,New South Wales,Katoomba,60,22,27,0,$0.00
2019|03,New South Wales,Kempsey,164,33,66,5,$364.93
2019|03,New South Wales,Kiama,465,175,290,22,"$2,035.63"
2019|03,New South Wales,Lismore,383,153,268,0,$0.00
2019|03,New South Wales,Lithgow,49,22,33,5,$174.94
2019|03,New South Wales,Maitland,60,11,44,0,$0.00
2019|03,New South Wales,Mudgee,301,66,148,5,$771.64
2019|03,New South Wales,Muswellbrook,131,22,66,0,$0.00
2019|03,New South Wales,Newcastle,"11,799","3,521","6,570",361,"$49,981.28"
2019|03,New South Wales,Nowra,55,22,38,0,$0.00
2019|03,New South Wales,Orange,882,236,422,16,"$1,284.08"
2019|03,New South Wales,Parkes,153,27,77,11,$431.68
2019|03,New South Wales,Port Macquarie,"1,911",624,"1,133",88,"$6,841.51"
2019|03,New South Wales,Queanbeyan,378,77,175,11,$711.47
2019|03,New South Wales,Raymond Terrace,318,66,170,5,$128.01
2019|03,New South Wales,Richmond,27,11,22,0,$0.00
2019|03,New South Wales,Singleton,137,60,99,5,"$1,041.91"
2019|03,New South Wales,Sydney,"736,057","221,068","339,335","20,560","$2,708,220.16"
2019|03,New South Wales,Tamworth,482,192,356,22,"$2,725.74"
2019|03,New South Wales,Taree,372,93,213,16,"$2,088.02"
2019|03,New South Wales,Wagga Wagga,"1,456",449,772,38,"$3,920.30"
2019|03,New South Wales,Wollongong,"9,702","2,787","5,366",236,"$24,070.64"
2019|03,Northern Territory,(not set),121,49,66,5,$361.26
2019|03,Northern Territory,Alice Springs,301,99,164,0,$0.00
2019|03,Northern Territory,Darwin,"4,139","1,177","2,135",131,"$22,069.07"
2019|03,Queensland,(not set),"2,130",586,"1,123",38,"$2,687.36"
2019|03,Queensland,Bongaree,22,5,22,0,$0.00
2019|03,Queensland,Brisbane,"278,017","81,835","131,107","7,397","$867,621.78"
2019|03,Queensland,Buderim,77,11,22,0,$0.00
2019|03,Queensland,Bundaberg,745,219,394,22,"$1,660.35"
2019|03,Queensland,Cairns,"7,594","2,453","4,326",186,"$23,378.50"
